id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,1,61339,4.4103496E7,719.0123,1610541000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1549411000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1316824000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1297842200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1279818200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1294337200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1337925100,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1288276200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1242366300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1256035900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1278330800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1238072500,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1277318200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1304965700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1276382300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1398163600,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1423153600,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1451625700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1369686700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1321929300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1321827500,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1264670400,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1286671500,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1296349300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1403050300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1468505200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1310102400,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1276516300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1493686100,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1312669500,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1252245300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1245622600,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1333092700,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1260133900,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1287697800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1330927900,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1379934300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1403517300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1462887200,1000,100000
