type,number of bins,total spaces,average waste,time,bin Capacity,number of objects
FF,50997.0,470644.52,9.228866796086045,6644585800,500.0,100000
FFDS,71700.0,1.082214452E7,150.93646471408647,5276950400,500.0,100000
FFDP,71700.0,1.082214452E7,150.93646471408647,3319428200,500.0,100000
FF,50997.0,470644.52,9.228866796086045,3336374400,500.0,100000
FFDS,71700.0,1.082214452E7,150.93646471408647,3287215700,500.0,100000
FFDP,71700.0,1.082214452E7,150.93646471408647,3253836600,500.0,100000
FF,50997.0,470644.52,9.228866796086045,3215709500,500.0,100000
FFDS,71700.0,1.082214452E7,150.93646471408647,3246112300,500.0,100000
FFDP,71700.0,1.082214452E7,150.93646471408647,3240616300,500.0,100000
FF,50997.0,470644.52,9.228866796086045,3182124300,500.0,100000
FFDS,71700.0,1.082214452E7,150.93646471408647,3237571900,500.0,100000
FFDP,71700.0,1.082214452E7,150.93646471408647,3227557000,500.0,100000
FF,50997.0,470644.52,9.228866796086045,3187298300,500.0,100000
FFDS,71700.0,1.082214452E7,150.93646471408647,3577146100,500.0,100000
FFDP,71700.0,1.082214452E7,150.93646471408647,3249518600,500.0,100000
